horizon,n_folds,mean_rmse_sarima,std_rmse_sarima,mean_rmse_persistence,std_rmse_persistence,mean_skill,std_skill,min_skill,max_skill
1,47,9.689039736394895,8.12707817431307,10.595941469324982,9.3645516363555,0.02738351692293909,0.195974718487605,-0.7343470805937682,0.23726841371921614
2,47,11.09793226314438,9.896827543081104,13.64187390230608,13.556193217112476,0.11911595746694736,0.20503986487925274,-0.5555105793970145,0.3306988387130555
3,47,11.180330068565093,9.811384205956436,14.243921144715213,14.141085370385982,0.14410912422710237,0.2536579263944805,-0.8264114738723851,0.4975613273788362
4,47,11.591124680001492,9.748505009805802,15.203736244584213,14.230284219279044,0.16744323665824298,0.2577540056212367,-0.6013525584756589,0.5414375019512482
5,47,11.179786613663213,9.260703220839472,15.274486408119987,14.07046278641459,0.18891351782290067,0.2730239257960653,-0.7037169893917816,0.7663069036434349
6,47,10.852743886583992,9.237840994224353,15.094520582429135,13.973647462302518,0.20339047358120435,0.3053989377549339,-1.1461371549068327,0.7685779105930762
7,47,10.510694880162458,8.923331292204328,14.875611340072558,14.068909673299107,0.1917618491595332,0.39699814671099465,-2.030491417796822,0.7649939549433582
