fold_month,fold_start,fold_end,horizon,n_test,rmse_xgb,rmse_persistence,skill
2020-01,2020-01-01,2020-01-31,1,16,31.651733258927315,24.506376721171982,-0.2915713170924281
2020-01,2020-01-01,2020-01-31,2,16,32.791075662240054,38.294908277733214,0.14372230834388477
2020-01,2020-01-01,2020-01-31,3,16,31.70176144043548,44.66192449951077,0.29018371250923714
2020-01,2020-01-01,2020-01-31,4,16,31.038652758768194,46.92946835411627,0.33861060337271565
2020-01,2020-01-01,2020-01-31,5,16,32.858604994814634,48.005208050793826,0.3155199960794405
2020-01,2020-01-01,2020-01-31,6,16,35.15421958783742,48.28172532128487,0.27189388212811494
2020-01,2020-01-01,2020-01-31,7,16,25.440659180335718,42.35047225238463,0.3992827511172976
2020-02,2020-02-01,2020-02-29,1,27,30.13320333623873,28.85468060111899,-0.044309023994885566
2020-02,2020-02-01,2020-02-29,2,27,30.292851978352275,37.04701717387625,0.182313333454729
2020-02,2020-02-01,2020-02-29,3,27,29.070712270790498,35.72321581476321,0.18622353537453518
2020-02,2020-02-01,2020-02-29,4,27,28.37957124492198,39.34510181759652,0.2787012884986453
2020-02,2020-02-01,2020-02-29,5,27,28.21052294426804,39.99953703435782,0.2947287634845259
2020-02,2020-02-01,2020-02-29,6,27,28.8612721939952,39.0185141239956,0.2603185220667822
2020-02,2020-02-01,2020-02-29,7,27,27.678716184748925,40.40947816943354,0.3150439590262859
2020-03,2020-03-01,2020-03-31,1,30,7.2908206516895895,9.18513291502451,0.20623678294696357
2020-03,2020-03-01,2020-03-31,2,30,11.738819468234407,8.63326898302916,-0.35971895365590734
2020-03,2020-03-01,2020-03-31,3,30,14.609486213740817,8.11377429642539,-0.8005783350637672
2020-03,2020-03-01,2020-03-31,4,30,10.254364461482421,9.106774035482232,-0.12601503249437118
2020-03,2020-03-01,2020-03-31,5,30,7.593843734472747,9.161513703167907,0.17111473272730948
2020-03,2020-03-01,2020-03-31,6,30,10.90563789595865,8.418234177466594,-0.2954780855526902
2020-03,2020-03-01,2020-03-31,7,30,10.196419098672305,8.951722366859538,-0.13904550217294487
