date,pm10,temp,hr,ws,wd,pm10_lag1,pm10_lag2,pm10_lag3,pm10_lag4,pm10_lag5,pm10_lag6,pm10_lag7,pm10_next
2017-01-01,26.0,10.8,79.0,0.5,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
2017-01-03,27.0,13.0,61.0,1.0,273.0,0.11818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,17.0
2017-01-04,17.0,16.2,57.0,1.4,305.0,0.12272727272727273,0.11818181818181818,0.0,0.0,0.0,0.0,0.0,13.0
2017-01-05,13.0,14.1,61.0,1.6,332.0,0.07727272727272727,0.12272727272727273,0.11818181818181818,0.0,0.0,0.0,0.0,23.0
2017-01-06,23.0,11.9,,0.7,318.0,0.05909090909090909,0.07727272727272727,0.12272727272727273,0.11818181818181818,0.0,0.0,0.0,22.0
2017-01-07,22.0,11.4,75.0,0.5,297.0,0.10454545454545454,0.05909090909090909,0.07727272727272727,0.12272727272727273,0.11818181818181818,0.0,0.0,24.0
2017-01-08,24.0,10.1,74.0,0.6,281.0,0.09999999999999999,0.10454545454545454,0.05909090909090909,0.07727272727272727,0.12272727272727273,0.11818181818181818,0.0,25.0
2017-01-09,25.0,11.4,62.0,0.8,334.0,0.10909090909090909,0.09999999999999999,0.10454545454545454,0.05909090909090909,0.07727272727272727,0.12272727272727273,0.11818181818181818,14.0
2017-01-10,14.0,12.8,56.0,1.5,279.0,0.11363636363636363,0.10909090909090909,0.09999999999999999,0.10454545454545454,0.05909090909090909,0.07727272727272727,0.12272727272727273,13.0
2017-01-11,13.0,13.6,59.0,1.4,11.0,0.06363636363636363,0.11363636363636363,0.10909090909090909,0.09999999999999999,0.10454545454545454,0.05909090909090909,0.07727272727272727,24.0
2017-01-12,24.0,12.8,76.0,0.9,250.0,0.05909090909090909,0.06363636363636363,0.11363636363636363,0.10909090909090909,0.09999999999999999,0.10454545454545454,0.05909090909090909,11.0
2017-01-13,11.0,15.0,50.0,1.6,299.0,0.10909090909090909,0.05909090909090909,0.06363636363636363,0.11363636363636363,0.10909090909090909,0.09999999999999999,0.10454545454545454,5.0
2017-01-14,5.0,11.2,35.0,1.8,307.0,0.049999999999999996,0.10909090909090909,0.05909090909090909,0.06363636363636363,0.11363636363636363,0.10909090909090909,0.09999999999999999,4.0
2017-01-15,4.0,11.8,40.0,2.8,306.0,0.022727272727272728,0.049999999999999996,0.10909090909090909,0.05909090909090909,0.06363636363636363,0.11363636363636363,0.10909090909090909,5.0
2017-01-16,5.0,14.9,40.0,3.0,300.0,0.01818181818181818,0.022727272727272728,0.049999999999999996,0.10909090909090909,0.05909090909090909,0.06363636363636363,0.11363636363636363,7.0
2017-01-17,7.0,10.1,62.0,2.3,1.0,0.022727272727272728,0.01818181818181818,0.022727272727272728,0.049999999999999996,0.10909090909090909,0.05909090909090909,0.06363636363636363,12.0
2017-01-18,12.0,5.6,59.0,1.3,335.0,0.031818181818181815,0.022727272727272728,0.01818181818181818,0.022727272727272728,0.049999999999999996,0.10909090909090909,0.05909090909090909,6.0
2017-01-19,6.0,7.3,92.0,2.9,32.0,0.05454545454545454,0.031818181818181815,0.022727272727272728,0.01818181818181818,0.022727272727272728,0.049999999999999996,0.10909090909090909,12.0
2017-01-20,12.0,10.5,84.0,1.2,330.0,0.02727272727272727,0.05454545454545454,0.031818181818181815,0.022727272727272728,0.01818181818181818,0.022727272727272728,0.049999999999999996,3.0
2017-01-21,3.0,10.7,71.0,6.4,318.0,0.05454545454545454,0.02727272727272727,0.05454545454545454,0.031818181818181815,0.022727272727272728,0.01818181818181818,0.022727272727272728,7.0
