horizon,rmse_xgb,rmse_persistence,skill_score
1,13.357052740846726,19.05199363684708,0.29891574627582185
2,14.168352656861664,19.624474515257727,0.2780263927145673
3,15.454611916771743,20.106026651039425,0.23134430362585923
4,14.972393737406477,19.70091758893869,0.24001541198198284
5,14.99528249314463,20.120712634573284,0.2547340262999265
6,14.755173653123252,19.96173262096177,0.26082700668834335
7,15.046096500367874,20.041879230175073,0.24926718060876962
